"No","En","Az","Tr","Ge","Ru","Ar"
"2","abscissa"," apsis","absis","აბსცისა","абсцисса","աբցիս"
"3","abscissa of point","noktasının apsisi","nöqtəsinin absisi","წერტილის აბსცისა","абсцисса точки","կետի աբցիսա"
"4","addition","toplama","toplama","შეკრება","сложение","միավորում"
"5","algebra","cebir","cəbr","ალგებრა","алгебра ","հանրահաշիվ"
"6","algorithm","algoritma","alqoritm","ალგორითმი","алгоритм","ալգորիթմ"
"7","angle","Açı","bucaq","კუთხე","угол","անկյուն"
"8","acute angle","dar açı","İti bucaq","მახვილი კუთხე","острый угол","սուր անկյուն"
"9","adjacent angle","komşu açı","qonşu bucaq","მოსაზღვრე კუთხე","смежный угол","կից անկյուն"
"10","adjacent angles","bitişik açılar","tamamlayıcı bucaqlar","მოსაზღვრე კუთხეები","смежные угли","կից անկյուններ"
"11","angle between the planes","uçaklar arasındakı açı","müstəvi arasındakı bucaq","სიბრტყეებს შორის კუთხე","угол между плоскостями","հարթությունների միջև անկյուն"
"12","angle of rotation","dönme açısı","fırlanma bucağı","მობრუნების კუთხე","угол вращения","հակադիր անկյուն"
"13","angle of turn","dönüş açısı","döngə bucağı","მობრუნების კუთხე","угол вращения","հակադիր անկյուն"
"14","central angle","merkezi açı","mərkəzi bucaq","ცენტრალური კუთხე","центральный угол","կենտրոնական անկյուն"
"15","corresponding angles","karşılık gelen açılar","uyğun bucaqlar","შესაბამისი კუთხეები","соответствующие углы","համապատասխան անկյուններ"
"16","degree measure of angle","açının derece ölçüsü","bucağın dərəcə ölçüsü","კუთხის გრადუსული ზომა","градусная мера угла","անկյան աստիճանի չափ"
"17","dihedral (two-sided) angle","dihedral (iki taraflı) açı","dihedral (iki tərəfli) bucaq","დიედრალური კუთხე","диедральный угол","երկկողմանի անկյուն"
"18","equal angles","eşit açılar","bərabər bucaqlar","ტოლი კუთხეები","равные угли","հավասար անկյուններ"
"19","exterior angle of polygon"," çokgen dış açısı","çoxbucağın xarici bucağı","მრალნალწევრის გარე კუთხე","внешний угол многоугольника","Բազմանկյոանի արտաքին անկյունը"
"20","exterior one-sided angles","dış tek taraflı açılar","xarici bir-tərəfli bucaq","გარე ცალმხრივი კუთხე","внешние односторонние углы","Արտաքին միակողմանի անկյուն"
"21","flat angle","düz açı","düz bucaq","ბრტყელი კუთხე","плоский угол","հարթ անկյուն"
"22","inclined angle","eğik açı","meylli bucaq","დახრის კუთხე","угол наклона","թեք անկյուն"
"23","interior angle of triangle","üçgen iç açısı","üçbucağın daxili bucağı","სამკუთხედის გარე კუთხე","внутренний угол треугольника","եռանկյան ներքին անկյուն"
"24","interior cross lying angles","iç çapraz yalan açıları","daxili qarşılıqlı bucaqlar","შიდა ჯვარედინად მდებარე კუთხეები","внутренные перекрестные угли","Ներքին խաչաձև անկյուններ"
"25","interior one-sided angles","iç tek taraflı açılar","daxili qomşu bucaqlar","შიდა მიმდებარე კუთხეები","внутренние односторонние углы","ներքին միակողմանի անկյուններ"
"26","linear angle","doğrusal açı","açıq bucaq","წრფივი კუთხე","линейный угол","Գծային անկյուն"
"27","obtuse angle","geniş açı","kor bucaq","ბლაგვი კუთხე","тупой угол","բութ անկյոււն"
"28","opposite angle","zıt açı","əks bucaq","მოპირდაპირე კუთხე","противоположный угол","Հակառակ անկյուն"
"29","polyhedral (many-sided) angle","çokyüzlü (çok taraflı) açı","çoxüzlü bucaq","მრავალწახნაგა კუთხე","многогранный угол","բազմանիստ անկյուն"
"30","radian measure of angle","radyan açısı ölçüsü","radiyan","კუთხის რადიანული ზომა","радианная мера угла","Անկյան ճառագայթային չափ"
"31","right angle","dik açı","düz bucaq","მართი კუთხე","прямой угол","ուղիղ անկյուն"
"32","sides of angle","açının yanları","bucağın yanları","კუთხის გვერდები","стороны угла","անկյան կողմեր"
"33","vertex of angle","açının tepe noktası","bucağın təpə nöqtəsi","კუთხის წვერო","вершина угла","անկյան գագաթ"
"34","apothem","iç yarıçap, yanal yükseklik","daxili radius","აპოთემა","апофема","Հարթագիծ"
"35","triangular","üçgen","üçbucaqlı","სამკუთხა","треугольный","եռանկյուն"
"36","quadrangular","dört köşeli","dördbucaqlı","ოთხკუთხა","четырехугольный","քառանկյուն"
"38","applicate","z ekseni, z koordinatı","z oxu, z koordinatı","მიდგმა","прикладывать","մոտեցում"
"39","Cartesian coordinates","kartezyen koordinatlarda","Karteziyan koordinantı","დეკარტის კოორდინანტი","Декартовы координаты","Դեկարտյան կոորդինատներ"
"40","criterion","özellik, kriter","kriter, meyar","კრიტერიუმი","критерий","Չափանիշ"
"41","arc","yay","qövs","რკალი","дуга","աղեղ"
"42","circumference","çevre","çevrə","წრეწირის ან ელიფსის სიგრძე","длина окружности","շրջանագիծ"
"43","arc of curve","eğrinin yayı","Əyrinin qövsü","მრუდის რკალი","дуга кривой","Կորի աղեղ"
"44","conjugate arcs","eşlenik yaylar","birləşdirici qövslər","შუღლებული რკალები","сопряженные дуги","զուգորդված աղեղ"
"45","degree measure of arc","yay derecesinin ölçülmesi","qövsün dərəcə ölçüsü","რკალის გრადუსული ზომა","градусная мера дуги","աղեղի աստիճանի չափ"
"46","length of arc","yayın uzunluğu","qövsün uzunluğu","რკალის სიგრძე","длина дуги","աղեղի երկարություն"
"47","length of circular arc","dairesel yayın uzunluğu","aairəvi qövsün uzunluğu","წრეწირის რკალის სიგრძე","длина дуги окружности","շրջանագծի աղեղի երկարություն"
"48","area","alan","sahə","ფართობი","площадь","մակերես"
"49","coordinate","koordinat","koordinat","კოორდინატები","координата","կոորդինատներ"
"50","point","nokta","nöqtə","წერტილი","точка","կետ"
"51","space, in the space","uzay, uzayda","fəza","სივრცე, სივრცეში","пространство, в пространстве","Տարածություն, Տարածության մեջ"
"52","mark, to mark","işaretlemek","işarələmək","მონიშნვა","отметить","Նշում"
"53","mathematical","matematiksel","riyazi","მთემატიკური","математический","մաթեմատիկական"
"54","reflex angle","kabarık olmayan açı","qabarıq olmayan bucaq","რეფლექსური კუთხე","reflex angle","Ռեֆլեքսային անկյուն"
"55","sum","toplami","cəm","ჯამი","сумма","գումար"
"56","items","öğeler","maddə","საგანი","Предметы","առարկա"
"57","fraction","kesir","kəsr","წილადი","дробь","կոտորակ"
"58","matrice","matris","matris","მატრიცა","матрица","մատրիցա"
"59","number","sayı","rəqəm","რიცხვი","число","թիվ"
"60","polynomial","polinom","çoxhədli","პოლინომი, მრავალწევრი","многочлен","բազմանդամ"
"61","vector","vektör","vektor","ვექტორი","вектор","վեկտոր"
"62","add, to add","eklemek için","əlavə etmək","მიმატება","добавить","ավելացնել"
"63","set","küme","çoxluqlar","სიმრავლე","множество","բազմություն"
"64","element","eleman","element","ელემენტი","элемент","տարր"
"65","arbitrary nature",,,"ნებისმიერი სახის","произвольного характера","Ցանկացած տեսակի"
"66","branch of Mathematics","matematik dalı","riyaziyyat sahəsi","მათემატიკის დარგი","отделение математики","Մաթեմատիկայի ճյուղ"
"67","Complex Numbers","kompleks sayılar","kompleks ədədlər","კომპლექსური რიცხვი","комплексное число","Կոմպլեքս թիվ"
"68","linear","lineer","xətti","წრფივი","линейный","գծային"
"69","result","sonuç","nəticə","შედეგი","результат","արդյունք"
"70","solution","çözüm"," həll","ამონახსნი, ფესვი","решение","լուծում"
"71","algorithmic language","algoritmik dil","alqoritm dili","ალგორითმული ენა","алгоритмический язык","Ալգորիթմական լեզու"
"72","cyclic","devirli","dövri","ციკლური","циклический","պարբերական"
"73","theory","teori","nəzəriyyə","თეორია","теория","տեսություն"
"74","types","çeşit","növləri","ტიპი","типы","տեսակ"
"75","linear algorithm","doğrusal algoritma","düzgün algoritma","წრფივი ალგორითმი","линейный алгоритм","գծային ալգորիթմ"
"76","vertex","tepe noktası","təpə nöqtəsi","წვერო","вершина","գագաթ"
"77","sides","yanlari, kenar","yanları","გვერდები","стороны","էջեր"
"78","ray","ışın","şüa","სხივი","луч","ճառագայթ"
"79","slope coefficient","eğim katsayısı","eniş əmsalı","დახრის კოეფიციენტი","коэффициент наклона","Թեքության գործակից"
"80","trihedral angle","üçlü açı","üçlü bucaq","სამწახნაგა კუთხე","трехгранный угол","եռանիստ անկյուն"
"81","regular","düzenli","daimi","რეგულარული","регулярный","կանոնավոր"
"82","polygon","çokgen","çoxbucaqlı","მრავალკუთხედი","многоугольник","բազմանկյուն"
"83","perpendicular","dik","şaquli, perpendikulyar","პერპენდიკულარული","перпендикуляр","ուղղահայաց"
"84","center","orta, merkez","mərkəz","ცენტრი","центр","կենտրոն"
"85","pyramid","piramid","piramida","პირამიდა","пирамида","բուրգ"
"86","lateral face","yan yüzü","yan səth","გვერდითი წახნაგი","боковая грань","կողային եզր"
"87","height","yükseklik","hündürlük","სიმაღლე","высота","բարձրություն"
"88","additive","additif","additivlik","ადიციური","адитивный","հավելում"
"89","truncated","tepesi kesik","kəsik","წაკვეთილი","усеченный","կրճատել"
"90","straight angle","tam açı","tam bucaq","გაშლილი კუთხე","прямые угол","փռված անկյուն"
"91","curve","eğri","əyri","მრუდი","кривая","Կոր"
"92","circular","Dairesel","dairəvi","წრიული","круговой","շրջանաձեւ"
"93","plane angle","düzlem açı","müstəvi bucağı","ბრტყელი კუთხე","плоский угол","Հարթ անկյուն"
"94","conjugate","eşlenik"," qoşma","შეუღლებული","сопряженный","զուգորդված"
"95","length","uzunluk","uzunluq","სიგრძე","длина","երկարություն"
"96","numerical","sayısal","ədədi","რიცხვითი","числовой","թվային"
"97","geometry","geometria","həndəsə","გეომეტრია","геометрия","երկրաչափություն"
"98","figure","şekil","fiqur","ფიგურა","фигура","պատկեր"
"99","characteristic","özellik","funksiya","მახასიათებელი","характеристика","հատկանշական"
"100","square","kare","kvadrat","კვადრატი"," квадрат","քառակուսի"
"101","sphere","küre","kürə","სფერო","сфера","ոլորտ"
"102","surface","yüzey alanı","yan səthi","ზედაპირი","поверхность","մակերեւույթ"
"103","denote","ifade etmek","ifadə etmək","აღნიშნვა","обозначать","նշանակություն"
"104","circle","daire","dairə","წრეწირი","окружность","շրջան"
"105","sector","sektör","sektor","სექტორი","сектор","սեկտոր"
"106","segment","segment, bölüm","seqment","სეგმენტი","сегмент","սեգմենտ"
"107","curvilinear","eğrisel","əyrixətli","მრუდწირული","криволинейный","կորագիծ"
"108","trapezoid","yamuk","trapesiya","ტრაპეცია","трапеция","տրապեցիա"
"109","parallelogram","paralelkenar","paralelogram","პარალელოგრამი","параллелограмм","զուգահեռագիծ"
"110","plane figure","düzlem figürü","müstəvi fiquru","ბრტყელი ფიგურა","плоская фигура","Հարթ պատկեր"
"111","rectangle","dikdörtgen","düzbucaqlı","მართკუთხა","прямоугольный","ուղղանկյուն"
"112","rhombus","eşkenar dörtgen","romb","რომბი","rhombus","շեղանկյուն"
"113","total","toplam","bütöv","ტოტალური","тотальный","ամբողջ"
"114","triangle","üçgen","üçbucaq","სამკუთხედი","треугольник","եռանկյուն"
"115","spherical","küresel","kürəşəkli, sferik","სფერული","сферический","գնդաձեւ"
"116","argument","argüman, sav,oran","arqument","არგუმენტი","аргумент","փաստարկ"
"117","estimate","değerlendirmek","qiymətləndirmək","შეფასება","оценить","գնահատում"
"118","function","fonksiyonu","funksiya","ფუნქცია","функция","ֆունկցիա"
"119","independent","bağımsız","asılı olmayan","დამოუკიდებული","независимый","անկախ"
"120","variable","değişken","dəyişkən","ცვლადი","переменная","փոփոխական"
"121","value","değer","dəğər, qiymət","მნისვნელობა","значение","արժեք"
"122","arithmetics","aritmetik","ədədi","არითმეტიკა","арифметика","թվաբանություն"
"123","basic concept","temel kavram","əsas konsepsiya","ძირითადი ცნება","основная концепция","Հիմնական հայեցակարգ"
"124","section","bölüm","bölüm","სექცია","раздел","Բաժին"
"125","problem","mesele","məsələ","ამოცანა,პრობლემა","задача","խնդիր"
"126","calculus","hesaplama","hesablama","კალკულუსი","калькулус","հաշվարկ"
"127","hyperbola","hiperbol","hiperbola","ჰიპერბოლა","гипербола","հիպերբոլա"
"128","horizontal","yatay","horizontal","ჰორიზონტალური","горизонтальный","հորիզոնական"
"129","inclined","eğimli","meylli","დახრილი","наклонный","թեք"
"130","vertical","dikey","vertikal","ვერტიკალური","вертикальный","ուղղահայաց"
"131","straight line","düz çizgi","düz xətt","სწორი ხაზი","прямая линия","ուղիղ գիծ"
"132","probability","olay","ehtimal","ალბათობა","вероятность","հավանականություն"
"133","correlation"," korelasyon","korrelyasiya","კორელაცია","корреляция","հարաբերակցություն"
"134","infinity","sonsuzluk","sonsuzluq","უსასრულობა","бесконечность","անվերջություն"
"135","average","ortalama","orta miqdar","საშუალო","среднее","միջին"
"136","radical","radikal","radikal","რადიკალი","радикал","հիմնական"
"137","index","endeks","indeks","ინდექსი","индекс","ցուցանիշ"
"138","corresponding","karşılık gelen","uyğun gələn","შესაბამისი","соответствующий","համապատասխան"
"139","entire","tam, bütün","tam","მთლიანი","entire","ամբողջական"
"140","middle line","orta çizgi","orta xətt","შუა ხაზი","средняя линия","միջին գիծ"
"141","parallel","paralel","paralelç üfüq","პარალელური","параллельный","զուգահեռ"
"142","minus","eksi","minus","მინუსი","минус","հանած"
"143","proportion","oran","nisbət","პროპორცია","пропорция","հարաբերություն"
"144","term","terim","termin","ტერმინი, ტერმი","член","տերմին"
"145","sequence","sekans","sekans","მიმდევრობა","последовательность","հաջորդականություն"
"146","axiom","aksiyom","aksioma","აქსიომა","аксиома","աքսիոմա"
"147","proof","ispat","sübut","დამტკიცება","доказательство","ապացույց"
"148","non-zero","sıfır olmayan","sıfır olmayan","არანულოვანი","ненулевой","ոչ զրոյական"
"149","planimetry","planimetri","planimetriya","პლანიმეტრია","планиметрия","Պլանաչափություն"
"150","stereometry","stereometri","stereometriya","სტერეომეტრია","стереометрия","ստերեոմետրիա"
"151","axis","eksen","ox","ღერძი","ось","առանցք"
"152","symmetry","simetri","simmetriya","სიმეტრია","симметрия","համաչափություն"
"153","direction","yön","istiqamət","მიმართულება","направление","ուղղություն"
"154","rotation","dönme","fırlanma","მოტრიალება","вращение","պարբերություն"
"155","number line","sayı doğrusu","ədədi düz xətt","რიცხვითი წრფე","числовая прямая","թվային գիծ"
"156","axonometry","axonometri","aksonometri","აქსონომეტრია","axonometry","աքսոնոմետրիա"
"157","axonometric","axonometrik","akonometriya","აქსონომეტრიული","аксонометрический","աքսոնոմետրիկ"
"158","orthogonal projection","dikey projeksiyon",,"ორთოგონალური პროექცია","ортогональная проекция","ուղղանկյուն պրոյեկցիա"
"159","axonometric projection","aksonometrik izdüşüm","aksonometrik proyeksiya","აქსონომეტრიული პროექცია","аксонометрическая проекция","աքսոնոմետրիկ պրոյեկցիա"
"160","cylinder","silindir","silindr","ცილინდრი","цилиндр","գլան"
"161","orthogonal","ortogonal, dikey","ortoqonal","ორთოგონალური","ортогональный","ուղղանկյուն"
"162","skew","eğriltme","əyrilmə","ირიბი","косой","շեղ"
"163","ball","top","top","ბირთვი","шар","գունդ"
"164","radius","yarıçap","radiyus","რადიუსი","радиус","շառավիղ"
"165","equidistant","eşit olan","bərabər məsafəli","თანაბრადდაშორებული","равноудаленный","հավասար հեռավորության վրա"
"166","diameter","çapı","diametr","დიამეტრი","диаметр","տրամագիծ"
"167","volume","hacmi","həcm","მოცულობა","объем","ծավալ"
"168","base","temel, üs","əsas","ფუძე","база","հիմք"
"169","intersection","kesişme","kəsişmə","თანაკვეთა","пересечение","հատում"
"170","power","gücü","güc","ხარისხი","мощность","որակ"
"171","cone","koni","konus","კონუსი","конус","կոն"
"173","prism","prizma","prizma","პრიზმა","призма","պրիզմա"
"174","basis","baz","baza","ბაზისი","базис","հիմք"
"176","non-coplanar","eşdüzlemli olmayan","qeyri-bərabərlik","არაკომპლანარული","некомпланарный","ոչ համաչափ"
"177","non-collinear","doğrusal olmayan",,"არაკოლინეარული","неколлинеарный","ոչ համակողմանի"
"178","binomial","binom","binom","ბინომიალური","биномиальный","երկանդամ"
"179","quadratic equation","İkinci dereceden denklem","Kvadrat tənlik","კვადრატული განტოლება","Квадратное уравнение","քառակուսի հավասարում"
"180","difference","fark","fərq","სხვაობა","разница","տարբերություն"
"181","expression","ifade","ifadə","გამოსახულება","выражение","արտահայտություն"
"183","formula","formül","formula, düstur","ფორმულა","формула","բանաձեւ"
"184","expansion","genişleme","genişlənmə","გაფართოება","расширение","ընդլայնում"
"185","arbitrary","rastgele","ixtiyari","ნებისმიერი","произвольный","կամայական"
"186","binomial coefficient","binom katsayısı","binom əmsalı","ბინომიალური კოეფიციენტები","биномиальный коэффициент","երկանդամ գործակից"
"187","bisector","açı ortay","tənbölən","ბისექტრისა","биссектриса","կիսորդ"
"189","derivative","türev","törəmə","წარმოებული","производная","ածանցյալ"
"190","integral","entegral","integral","ინტეგრალი","интеграл","ինտեգրալ"
"191","cathetus","dikkenar","katet","კათეტი","катет","կաթետուս"
"193","adjacent","bitişik","bitişik","მოსაზღვრე","смежный","կից"
"194","opposite","karşısı","əks","მოპირდაპირე","противоположный","հակադիր"
"195","hypotenuse","hipotenüs","hipotenuz","ჰიპოთენუზა","гипотенуза","ներքնաձիգ"
"197","centroid","ağırlık merkezi","medianların kəsişmə nöqtəsi","ცენტროიდი","центроид","ցենտրոիդ"
"199","chord","akor","vətər","ქორდა","хорда","լար"
"200","span","karış","qarış","წარმოქმნა","порождать","առաջացում"
"201","boundary","sınırı","sərhədi
Nitq hissəsi	Tərcümə	Geri tərcümələr	Tezlik
help_outline
Isim
sərhədi","საზღვარი","граница","սահման"
"202","concentric","eş merkezli","konsentrik","კონცენტრული","концентрический","համակենտրոն"
"203","tangent","teğet"," toxunan (xətt)","მხები","касательная","շոշափող"
"204","coefficient","katsayı","əmsal","კოეფიციენტი","коэффициент","գործակից"
"205","factor","faktör","vuruq","თანამამრავლი","фактор","գործոն"
"206","monomial","tekterimli","birhədli","ერთწევრი, მონომი","одночлен","միանդամ"
"208","constant","sabit","sabit, daimi","მუდმივი","постоянный","Մշտական"
"209","factor in equation","denklemdeki çarpan","tənlikdəki vurma","განტოლების თანამამრავლი","соумножитель в уравнении","Հավասարման բազմապատկիչ"
"210","combination","kombinasyon","uyğunluq, kombinasiya","კომბინაცია","комбинация","համադրություն"
"211","repetition","tekrar","təkrar","გამეორება","повторение","կրկնություն"
"212","combinatorics","kombinsyoncular","kombinatorika","კომბინატორიკა","комбинаторика","կոմբինատորիկա"
"213","accommodation","konaklama","uyğunlaşma","აკომონდაცია","согласование","հարմարեցում"
"214","permutation","permütasyon","permutasiya","გადანაცვლება","перестановка","փոխակերպում"
"216","binary","ikili","ikili","ბინარული, ორადგილიანი","бинарная","երկուական"
"217","multiplication","çarpım","vurma","გამრავლება","умножение","բազմապատկում"
"218","property","özellik","özəllik","თვისება","свойство","հատկություն"
"219","condition","yeterli koşul, şart
Sufficient condition is","şərt","პირობა","условие","պայման"
"220","mutual reciprocals","iki taraflı karşılıklar","iki tərəfli qarşılıq","ურთიერთშებრუნებული","взаимно обратные","փոխադարձ կապեր"
"222","form","şekli","forma","ფორმა","форма","ձև"
"224","conjunction","Birleşme","birləşmə","კონიუნქცია","конъюнкция","միացում"
"225","zero","sıfır","sıfır","ნული","нуль","զրո"
"226","equal","eşittir","bərabərdir","ტოლია","равно","հավասար"
"227","polar coordinate","kutupsal koordinat","qütb koordinatı","პოლარული კოორდინატები","полярная координата","բևեռային կոորդինատ"
"228","coordinate plane","koordinat düzlemi","koordinat müstəvisi","საკოორდინატო სიბრტყე","координатная плоскость","կոորդինատային հարթություն"
"229","system","sistem","sistem","სისტემა","система","համակարգ"
"230","cosecant","kosekant","kosekans","კოსეკანსი","косеканс","զուգորդող"
"232","acute","akut","kəskin","მახვილი","острый","սուր"
"233","tangent","	tanjant","tanqens","მხები","касательная","շոշափող"
"234","ratio","kosekantı, rasyon. Oran","nisbətç ratio","შეფარება","соотношение","հարաբերություն"
"235","trigonometry","trigonometria","triqonometriya","ტრიგონომეტრია","тригонометрия","եռանկյունաչափություն"
"236","cosine","kosinüs","kosinus","კოსინუსი","косинус","կոսինուս"
"237","cotangent","kotanjant","kotangens","კოტანგენსი","котангенс","կոտանգենս"
"238","inverse","ters","tərs","შებრუნებული","обратный","շրջված"
"240","similarity","benzerlik","bənzərlik, oxşarlıq","მსგავსება","подобие","նմանություն"
"241","cross-section","enine kesit","eninə kəsik","განივი კვეთა","поперечное сечение","խաչմերուկ"
"243","conic section","konik kesit","kəsik konus","კონუსური კვეთა","коническое сечение","կոնաձև հատված"
"245","diagonal","çapraz, diyagonal, köşegen","diyaqonal","დიაგონალი","диагональ","անկյունագիծ"
"247","degree","derece","dərəcə","ხარისხი","степень","աստիճան"
"248","edge","kenar","til","წიბო","ребро","գագաթ"
"249","parabola","parabol","parabola","პარაბოლა","парабола","պարաբոլա"
"250","ellipse","elips","ellips","ელიფსი","эллипс","էլիպս"
"251","continuous curve","sürekli eğri","davamlı əyri","უწყვეტი წირი","непрерывная кривая","շարունակական կոր"
"253","intersecting curves","örtüşen eğriler","kəsişən əyrilər","თანამკვეთი წირები","пересекающиеся кривые","հատվող կորեր"
"254","lateral surface","yanal yüzeyi","yan səth","გვერდითი ზედაპირი","lateral surface","կողային մակերես"
"255","parabolic","parabolik","parabolik","პარაბოლური","параболический","պարաբոլիկ"
"256","denominator","payda","məxrəc","მნიშვნელი","знаменатель","հայտարար"
"257","common denominator","ortak bölen","ortaq məxrəc","საერთო მნიშვნელი","общий знаменатель","Ընդհանուր հայտարար"
"259","lowest common denominator (LCD)","en küçük ortak bölen","ən kiçik ortaq bölən","უმცირესი საერთო მნიშვნელი","наименьший общий знаменатель (НОК)","ամենափոքր ընդհանուր բաժանարար"
"260","progression","ilerleme","ilərləmə","პროგრესია","прогрессия","պրոգրեսիա"
"261","dependence","bağlımlılık","asılılıq","დამოკიდებულება","зависимость","կախվածություն"
"262","limit","limit","limit","ზღვარი","предел","սահման"
"263","increment","artış","artım","ნაზრდი","приращение","ավելացում"
"264","composite","bileşik, kompozit","mürəkkəb","შედგენილი","составной","կազմված"
"265","order","sıra","sıra","რიგი, სტრიქონი","порядок","Շարք, տող"
"266","product","çarpım","vurma","ნამრავლი","произведение","արտադրյալ"
"267","quotient","bölüm","hissə","შეფარდება","частное","հարաբերություն"
"268","second order","ikinci derece","ikinci dərəcə","მეორე რიგის","второго порядка","երկրորդ շարքի"
"269","determinant","determinant","determinant","დეტერმინანტი","детерминант","դետերմինանտ"
"270","finite","sonlu","sonlu","სასრული","конечный","Վերջավոր"
"271","differential","diferansiyel (türevsel)","diferensial","დიფერენციალი","дифференциал","դիֆերենցիալ"
"273","digit, figure","rakam","rəqəm","ციფრი","цифра","թվանշան"
"274","dimension","boyut","ölçü","განზომილება","размерность","մեծություն"
"275","directrix","direktriksi","direktrisa","დირექტრისა","директриса","դիրեքտրիս"
"276","discriminant","diskriminant","diskriminant","დისკრიმინანტი","дискриминант","դիրեքտրիս"
"277","trinomial","trinom","üçhədli","სამწევრი","трехчленный","եռանդամ"
"278","dividend","bölünen","bölünən","გასაყოფი","делимое","բաժանելի"
"279","divider","bölen","bölən","გამყოფი","делитель","բաժանարար"
"280","the greatest common divisor (GCD)","en büyük ortak bölen","ən böyük ortaq bölən (ƏBOB)","უდიდესი საერთო გამყოფი (უსგ)","наибольший общий делитель (НОД)","ամենամեծ ընդհանուր բաժանարար"
"281","common divisor","ortak bölümü","ortaq bölən","საერთო გამყოფი","общий делитель","ընդհանուր բաժանարար"
